timeframe,indicator,zone,comparison,min_value,max_value
1D4hr,fmacd,igr,>=,3.0,
1D4hr,fmacd,greed,>=,2.2,
1D4hr,fmacd,bull,>=,1.47,
1D4hr,fmacd,pos,>=,1.0,
1D4hr,fmacd,neutral,>=,0.74,
1D4hr,fmacd,neg,<,0.0,
1D4hr,fmacd,bear,<,-0.74,
1D4hr,fmacd,fear,<,-1.47,
1D4hr,fmacd,panic,<,-3.0,
1D4hr,smacd,igr,>=,2.2,
1D4hr,smacd,greed,>=,1.47,
1D4hr,smacd,bull,>=,1.0,
1D4hr,smacd,pos,>=,0.74,
1D4hr,smacd,neutral,>=,0.47,
1D4hr,smacd,neg,<,0.0,
1D4hr,smacd,bear,<,-0.74,
1D4hr,smacd,fear,<,-1.47,
1D4hr,smacd,panic,<,-2.2,
1D4hr,bars,Hurricane,>=,3.0,
1D4hr,bars,Storm,>=,2.0,
1D4hr,bars,StrongWind,>=,1.74,
1D4hr,bars,Windy,>=,1.47,
1D4hr,bars,Neutral,>=,1.0,
1D1hr,fmacd,igr,>=,1.74,
1D1hr,fmacd,greed,>=,1.0,
1D1hr,fmacd,bull,>=,1.47,
1D1hr,fmacd,pos,>=,0.74,
1D1hr,fmacd,neutral,>=,0.47,
1D1hr,fmacd,neg,<,0.0,
1D1hr,fmacd,bear,<,-0.74,
1D1hr,fmacd,fear,<,-1.47,
1D1hr,fmacd,panic,<,-2.2,
1D1hr,smacd,igr,>=,1.0,
1D1hr,smacd,greed,>=,0.74,
1D1hr,smacd,bull,>=,0.74,
1D1hr,smacd,pos,>=,0.47,
1D1hr,smacd,neutral,>=,0.33,
1D1hr,smacd,neg,<,0.0,
1D1hr,smacd,bear,<,-0.47,
1D1hr,smacd,fear,<,-1.0,
1D1hr,smacd,panic,<,-1.47,
1D1hr,bars,Hurricane,>=,2.0,
1D1hr,bars,Storm,>=,1.74,
1D1hr,bars,StrongWind,>=,1.0,
1D1hr,bars,Windy,>=,0.74,
1D1hr,bars,Neutral,>=,0.47,
1D30Min,fmacd,igr,>=,1.74,
1D30Min,fmacd,greed,>=,1.0,
1D30Min,fmacd,bull,>=,1.47,
1D30Min,fmacd,pos,>=,0.74,
1D30Min,fmacd,neutral,>=,0.47,
1D30Min,fmacd,neg,<,0.0,
1D30Min,fmacd,bear,<,-0.74,
1D30Min,fmacd,fear,<,-1.47,
1D30Min,fmacd,panic,<,-2.2,
1D30Min,smacd,igr,>=,1.0,
1D30Min,smacd,greed,>=,0.74,
1D30Min,smacd,bull,>=,0.74,
1D30Min,smacd,pos,>=,0.47,
1D30Min,smacd,neutral,>=,0.33,
1D30Min,smacd,neg,<,0.0,
1D30Min,smacd,bear,<,-0.47,
1D30Min,smacd,fear,<,-1.0,
1D30Min,smacd,panic,<,-1.47,
1D30Min,bars,Hurricane,>=,1.47,
1D30Min,bars,Storm,>=,1.14,
1D30Min,bars,StrongWind,>=,1.0,
1D30Min,bars,Windy,>=,0.74,
